# This file lists special protos that Gazelle knows how to import. This is used to generate
# code for proto and Go resolvers.
#
# Generated by language/proto/gen/update_proto_csv.go
# Do not edit directly.
#
# proto name,proto label,go import path,go proto label
google/protobuf/any.proto,@com_google_protobuf//:any_proto,github.com/golang/protobuf/ptypes/any,@io_bazel_rules_go//proto/wkt:any_go_proto
google/protobuf/api.proto,@com_google_protobuf//:api_proto,google.golang.org/genproto/protobuf/api,@io_bazel_rules_go//proto/wkt:api_go_proto
google/protobuf/compiler/plugin.proto,@com_google_protobuf//:compiler_plugin_proto,github.com/golang/protobuf/protoc-gen-go/plugin,@io_bazel_rules_go//proto/wkt:compiler_plugin_go_proto
google/protobuf/descriptor.proto,@com_google_protobuf//:descriptor_proto,github.com/golang/protobuf/protoc-gen-go/descriptor,@io_bazel_rules_go//proto/wkt:descriptor_go_proto
google/protobuf/duration.proto,@com_google_protobuf//:duration_proto,github.com/golang/protobuf/ptypes/duration,@io_bazel_rules_go//proto/wkt:duration_go_proto
google/protobuf/empty.proto,@com_google_protobuf//:empty_proto,github.com/golang/protobuf/ptypes/empty,@io_bazel_rules_go//proto/wkt:empty_go_proto
google/protobuf/field_mask.proto,@com_google_protobuf//:field_mask_proto,google.golang.org/genproto/protobuf/field_mask,@io_bazel_rules_go//proto/wkt:field_mask_go_proto
google/protobuf/source_context.proto,@com_google_protobuf//:source_context_proto,google.golang.org/genproto/protobuf/source_context,@io_bazel_rules_go//proto/wkt:source_context_go_proto
google/protobuf/struct.proto,@com_google_protobuf//:struct_proto,github.com/golang/protobuf/ptypes/struct,@io_bazel_rules_go//proto/wkt:struct_go_proto
google/protobuf/timestamp.proto,@com_google_protobuf//:timestamp_proto,github.com/golang/protobuf/ptypes/timestamp,@io_bazel_rules_go//proto/wkt:timestamp_go_proto
google/protobuf/type.proto,@com_google_protobuf//:type_proto,google.golang.org/genproto/protobuf/ptype,@io_bazel_rules_go//proto/wkt:type_go_proto
google/protobuf/wrappers.proto,@com_google_protobuf//:wrappers_proto,github.com/golang/protobuf/ptypes/wrappers,@io_bazel_rules_go//proto/wkt:wrappers_go_proto
gapic/metadata/gapic_metadata.proto,@go_googleapis//gapic/metadata:metadata_proto,google.golang.org/genproto/googleapis/gapic/metadata,@go_googleapis//gapic/metadata:metadata_go_proto
google/actions/type/date_range.proto,@go_googleapis//google/actions/type:date_range_proto,google.golang.org/genproto/googleapis/type/date_range,@go_googleapis//google/actions/type:date_range_go_proto
google/actions/type/datetime_range.proto,@go_googleapis//google/actions/type:date_time_range_proto,google.golang.org/genproto/googleapis/type/date_time_range,@go_googleapis//google/actions/type:date_time_range_go_proto
google/ads/admob/v1/admob_api.proto,@go_googleapis//google/ads/admob/v1:admob_proto,google.golang.org/genproto/googleapis/ads/admob/v1,@go_googleapis//google/ads/admob/v1:admob_go_proto
google/ads/admob/v1/admob_resources.proto,@go_googleapis//google/ads/admob/v1:admob_proto,google.golang.org/genproto/googleapis/ads/admob/v1,@go_googleapis//google/ads/admob/v1:admob_go_proto
google/ads/googleads/v4/common/ad_asset.proto,@go_googleapis//google/ads/googleads/v4/common:common_proto,google.golang.org/genproto/googleapis/ads/googleads/v4/common,@go_googleapis//google/ads/googleads/v4/common:common_go_proto
google/ads/googleads/v4/common/ad_type_infos.proto,@go_googleapis//google/ads/googleads/v4/common:common_proto,google.golang.org/genproto/googleapis/ads/googleads/v4/common,@go_googleapis//google/ads/googleads/v4/common:common_go_proto
google/ads/googleads/v4/common/asset_types.proto,@go_googleapis//google/ads/googleads/v4/common:common_proto,google.golang.org/genproto/googleapis/ads/googleads/v4/common,@go_googleapis//google/ads/googleads/v4/common:common_go_proto
google/ads/googleads/v4/common/bidding.proto,@go_googleapis//google/ads/googleads/v4/common:common_proto,google.golang.org/genproto/googleapis/ads/googleads/v4/common,@go_googleapis//google/ads/googleads/v4/common:common_go_proto
google/ads/googleads/v4/common/click_location.proto,@go_googleapis//google/ads/googleads/v4/common:common_proto,google.golang.org/genproto/googleapis/ads/googleads/v4/common,@go_googleapis//google/ads/googleads/v4/common:common_go_proto
google/ads/googleads/v4/common/criteria.proto,@go_googleapis//google/ads/googleads/v4/common:common_proto,google.golang.org/genproto/googleapis/ads/googleads/v4/common,@go_googleapis//google/ads/googleads/v4/common:common_go_proto
google/ads/googleads/v4/common/criterion_category_availability.proto,@go_googleapis//google/ads/googleads/v4/common:common_proto,google.golang.org/genproto/googleapis/ads/googleads/v4/common,@go_googleapis//google/ads/googleads/v4/common:common_go_proto
google/ads/googleads/v4/common/custom_parameter.proto,@go_googleapis//google/ads/googleads/v4/common:common_proto,google.golang.org/genproto/googleapis/ads/googleads/v4/common,@go_googleapis//google/ads/googleads/v4/common:common_go_proto
google/ads/googleads/v4/common/dates.proto,@go_googleapis//google/ads/googleads/v4/common:common_proto,google.golang.org/genproto/googleapis/ads/googleads/v4/common,@go_googleapis//google/ads/googleads/v4/common:common_go_proto
google/ads/googleads/v4/common/explorer_auto_optimizer_setting.proto,@go_googleapis//google/ads/googleads/v4/common:common_proto,google.golang.org/genproto/googleapis/ads/googleads/v4/common,@go_googleapis//google/ads/googleads/v4/common:common_go_proto
google/ads/googleads/v4/common/extensions.proto,@go_googleapis//google/ads/googleads/v4/common:common_proto,google.golang.org/genproto/googleapis/ads/googleads/v4/common,@go_googleapis//google/ads/googleads/v4/common:common_go_proto
google/ads/googleads/v4/common/feed_common.proto,@go_googleapis//google/ads/googleads/v4/common:common_proto,google.golang.org/genproto/googleapis/ads/googleads/v4/common,@go_googleapis//google/ads/googleads/v4/common:common_go_proto
google/ads/googleads/v4/common/final_app_url.proto,@go_googleapis//google/ads/googleads/v4/common:common_proto,google.golang.org/genproto/googleapis/ads/googleads/v4/common,@go_googleapis//google/ads/googleads/v4/common:common_go_proto
google/ads/googleads/v4/common/frequency_cap.proto,@go_googleapis//google/ads/googleads/v4/common:common_proto,google.golang.org/genproto/googleapis/ads/googleads/v4/common,@go_googleapis//google/ads/googleads/v4/common:common_go_proto
google/ads/googleads/v4/common/keyword_plan_common.proto,@go_googleapis//google/ads/googleads/v4/common:common_proto,google.golang.org/genproto/googleapis/ads/googleads/v4/common,@go_googleapis//google/ads/googleads/v4/common:common_go_proto
google/ads/googleads/v4/common/matching_function.proto,@go_googleapis//google/ads/googleads/v4/common:common_proto,google.golang.org/genproto/googleapis/ads/googleads/v4/common,@go_googleapis//google/ads/googleads/v4/common:common_go_proto
google/ads/googleads/v4/common/metrics.proto,@go_googleapis//google/ads/googleads/v4/common:common_proto,google.golang.org/genproto/googleapis/ads/googleads/v4/common,@go_googleapis//google/ads/googleads/v4/common:common_go_proto
google/ads/googleads/v4/common/offline_user_data.proto,@go_googleapis//google/ads/googleads/v4/common:common_proto,google.golang.org/genproto/googleapis/ads/googleads/v4/common,@go_googleapis//google/ads/googleads/v4/common:common_go_proto
google/ads/googleads/v4/common/policy.proto,@go_googleapis//google/ads/googleads/v4/common:common_proto,google.golang.org/genproto/googleapis/ads/googleads/v4/common,@go_googleapis//google/ads/googleads/v4/common:common_go_proto
google/ads/googleads/v4/common/real_time_bidding_setting.proto,@go_googleapis//google/ads/googleads/v4/common:common_proto,google.golang.org/genproto/googleapis/ads/googleads/v4/common,@go_googleapis//google/ads/googleads/v4/common:common_go_proto
google/ads/googleads/v4/common/segments.proto,@go_googleapis//google/ads/googleads/v4/common:common_proto,google.golang.org/genproto/googleapis/ads/googleads/v4/common,@go_googleapis//google/ads/googleads/v4/common:common_go_proto
google/ads/googleads/v4/common/simulation.proto,@go_googleapis//google/ads/googleads/v4/common:common_proto,google.golang.org/genproto/googleapis/ads/googleads/v4/common,@go_googleapis//google/ads/googleads/v4/common:common_go_proto
google/ads/googleads/v4/common/tag_snippet.proto,@go_googleapis//google/ads/googleads/v4/common:common_proto,google.golang.org/genproto/googleapis/ads/googleads/v4/common,@go_googleapis//google/ads/googleads/v4/common:common_go_proto
google/ads/googleads/v4/common/targeting_setting.proto,@go_googleapis//google/ads/googleads/v4/common:common_proto,google.golang.org/genproto/googleapis/ads/googleads/v4/common,@go_googleapis//google/ads/googleads/v4/common:common_go_proto
google/ads/googleads/v4/common/text_label.proto,@go_googleapis//google/ads/googleads/v4/common:common_proto,google.golang.org/genproto/googleapis/ads/googleads/v4/common,@go_googleapis//google/ads/googleads/v4/common:common_go_proto
google/ads/googleads/v4/common/url_collection.proto,@go_googleapis//google/ads/googleads/v4/common:common_proto,google.golang.org/genproto/googleapis/ads/googleads/v4/common,@go_googleapis//google/ads/googleads/v4/common:common_go_proto
google/ads/googleads/v4/common/user_lists.proto,@go_googleapis//google/ads/googleads/v4/common:common_proto,google.golang.org/genproto/googleapis/ads/googleads/v4/common,@go_googleapis//google/ads/googleads/v4/common:common_go_proto
google/ads/googleads/v4/common/value.proto,@go_googleapis//google/ads/googleads/v4/common:common_proto,google.golang.org/genproto/googleapis/ads/googleads/v4/common,@go_googleapis//google/ads/googleads/v4/common:common_go_proto
google/ads/googleads/v4/enums/access_reason.proto,@go_googleapis//google/ads/googleads/v4/enums:enums_proto,google.golang.org/genproto/googleapis/ads/googleads/v4/enums,@go_googleapis//google/ads/googleads/v4/enums:enums_go_proto
google/ads/googleads/v4/enums/access_role.proto,@go_googleapis//google/ads/googleads/v4/enums:enums_proto,google.golang.org/genproto/googleapis/ads/googleads/v4/enums,@go_googleapis//google/ads/googleads/v4/enums:enums_go_proto
google/ads/googleads/v4/enums/account_budget_proposal_status.proto,@go_googleapis//google/ads/googleads/v4/enums:enums_proto,google.golang.org/genproto/googleapis/ads/googleads/v4/enums,@go_googleapis//google/ads/googleads/v4/enums:enums_go_proto
google/ads/googleads/v4/enums/account_budget_proposal_type.proto,@go_googleapis//google/ads/googleads/v4/enums:enums_proto,google.golang.org/genproto/googleapis/ads/googleads/v4/enums,@go_googleapis//google/ads/googleads/v4/enums:enums_go_proto
google/ads/googleads/v4/enums/account_budget_status.proto,@go_googleapis//google/ads/googleads/v4/enums:enums_proto,google.golang.org/genproto/googleapis/ads/googleads/v4/enums,@go_googleapis//google/ads/googleads/v4/enums:enums_go_proto
google/ads/googleads/v4/enums/account_link_status.proto,@go_googleapis//google/ads/googleads/v4/enums:enums_proto,google.golang.org/genproto/googleapis/ads/googleads/v4/enums,@go_googleapis//google/ads/googleads/v4/enums:enums_go_proto
google/ads/googleads/v4/enums/ad_customizer_placeholder_field.proto,@go_googleapis//google/ads/googleads/v4/enums:enums_proto,google.golang.org/genproto/googleapis/ads/googleads/v4/enums,@go_googleapis//google/ads/googleads/v4/enums:enums_go_proto
google/ads/googleads/v4/enums/ad_group_ad_rotation_mode.proto,@go_googleapis//google/ads/googleads/v4/enums:enums_proto,google.golang.org/genproto/googleapis/ads/googleads/v4/enums,@go_googleapis//google/ads/googleads/v4/enums:enums_go_proto
google/ads/googleads/v4/enums/ad_group_ad_status.proto,@go_googleapis//google/ads/googleads/v4/enums:enums_proto,google.golang.org/genproto/googleapis/ads/googleads/v4/enums,@go_googleapis//google/ads/googleads/v4/enums:enums_go_proto
google/ads/googleads/v4/enums/ad_group_criterion_approval_status.proto,@go_googleapis//google/ads/googleads/v4/enums:enums_proto,google.golang.org/genproto/googleapis/ads/googleads/v4/enums,@go_googleapis//google/ads/googleads/v4/enums:enums_go_proto
google/ads/googleads/v4/enums/ad_group_criterion_status.proto,@go_googleapis//google/ads/googleads/v4/enums:enums_proto,google.golang.org/genproto/googleapis/ads/googleads/v4/enums,@go_googleapis//google/ads/googleads/v4/enums:enums_go_proto
google/ads/googleads/v4/enums/ad_group_status.proto,@go_googleapis//google/ads/googleads/v4/enums:enums_proto,google.golang.org/genproto/googleapis/ads/googleads/v4/enums,@go_googleapis//google/ads/googleads/v4/enums:enums_go_proto
google/ads/googleads/v4/enums/ad_group_type.proto,@go_googleapis//google/ads/googleads/v4/enums:enums_proto,google.golang.org/genproto/googleapis/ads/googleads/v4/enums,@go_googleapis//google/ads/googleads/v4/enums:enums_go_proto
google/ads/googleads/v4/enums/ad_network_type.proto,@go_googleapis//google/ads/googleads/v4/enums:enums_proto,google.golang.org/genproto/googleapis/ads/googleads/v4/enums,@go_googleapis//google/ads/googleads/v4/enums:enums_go_proto
google/ads/googleads/v4/enums/ad_serving_optimization_status.proto,@go_googleapis//google/ads/googleads/v4/enums:enums_proto,google.golang.org/genproto/googleapis/ads/googleads/v4/enums,@go_googleapis//google/ads/googleads/v4/enums:enums_go_proto
google/ads/googleads/v4/enums/ad_strength.proto,@go_googleapis//google/ads/googleads/v4/enums:enums_proto,google.golang.org/genproto/googleapis/ads/googleads/v4/enums,@go_googleapis//google/ads/googleads/v4/enums:enums_go_proto
google/ads/googleads/v4/enums/ad_type.proto,@go_googleapis//google/ads/googleads/v4/enums:enums_proto,google.golang.org/genproto/googleapis/ads/googleads/v4/enums,@go_googleapis//google/ads/googleads/v4/enums:enums_go_proto
google/ads/googleads/v4/enums/advertising_channel_sub_type.proto,@go_googleapis//google/ads/googleads/v4/enums:enums_proto,google.golang.org/genproto/googleapis/ads/googleads/v4/enums,@go_googleapis//google/ads/googleads/v4/enums:enums_go_proto
google/ads/googleads/v4/enums/advertising_channel_type.proto,@go_googleapis//google/ads/googleads/v4/enums:enums_proto,google.golang.org/genproto/googleapis/ads/googleads/v4/enums,@go_googleapis//google/ads/googleads/v4/enums:enums_go_proto
google/ads/googleads/v4/enums/affiliate_location_feed_relationship_type.proto,@go_googleapis//google/ads/googleads/v4/enums:enums_proto,google.golang.org/genproto/googleapis/ads/googleads/v4/enums,@go_googleapis//google/ads/googleads/v4/enums:enums_go_proto
google/ads/googleads/v4/enums/affiliate_location_placeholder_field.proto,@go_googleapis//google/ads/googleads/v4/enums:enums_proto,google.golang.org/genproto/googleapis/ads/googleads/v4/enums,@go_googleapis//google/ads/googleads/v4/enums:enums_go_proto
google/ads/googleads/v4/enums/age_range_type.proto,@go_googleapis//google/ads/googleads/v4/enums:enums_proto,google.golang.org/genproto/googleapis/ads/googleads/v4/enums,@go_googleapis//google/ads/googleads/v4/enums:enums_go_proto
google/ads/googleads/v4/enums/app_campaign_app_store.proto,@go_googleapis//google/ads/googleads/v4/enums:enums_proto,google.golang.org/genproto/googleapis/ads/googleads/v4/enums,@go_googleapis//google/ads/googleads/v4/enums:enums_go_proto
google/ads/googleads/v4/enums/app_campaign_bidding_strategy_goal_type.proto,@go_googleapis//google/ads/googleads/v4/enums:enums_proto,google.golang.org/genproto/googleapis/ads/googleads/v4/enums,@go_googleapis//google/ads/googleads/v4/enums:enums_go_proto
google/ads/googleads/v4/enums/app_payment_model_type.proto,@go_googleapis//google/ads/googleads/v4/enums:enums_proto,google.golang.org/genproto/googleapis/ads/googleads/v4/enums,@go_googleapis//google/ads/googleads/v4/enums:enums_go_proto
